V,S
102573159473068,32
135650267551765,32.2
204022738612965,32.4
329841462900159,32.6
372040875559584,32.8
637006480841138,33
580968302197485,33.2
753835609950212,33.4
1.01898092524757e+15,33.6
3.06853019422823e+15,33.8
1.48610234596848e+16,34
3.65024520634126e+16,34.2
1.01044998988441e+17,34.4
5.81240569966186e+17,34.6
3.77019783761358e+17,34.8
1.46286100773465e+17,35
2.07553062354222e+16,35.2
1.37261906093227e+16,35.4
1.19801208171095e+16,35.6
5.89792963181886e+15,35.8
3.72230842055469e+15,36
2.93405876132488e+15,36.2
2.83104334912876e+15,36.4
2.4249259982532e+15,36.6
1.12986135935386e+15,36.8
652553363790564,37
418116108405281,37.2
109690092127229,37.4
19197565717342.2,37.6
24484189964338.7,37.8
35500491277534.6,38
