V,T
1.12844683794796e+15,-2
1.80728319547503e+16,-1
7.80315467527652e+16,0
3.46383052524353e+17,1
3.42462947325181e+17,2
1.76741275888157e+17,3
9.58168166649668e+16,4
5.26557054699274e+16,5
3.55559883712727e+16,6
2.94625750514692e+16,7
2.31799097430338e+16,8
1.93034483137828e+16,9
1.7178677178597e+16,10
1.4370906711083e+16,11
1.17755649230206e+16,12
1.15322671158069e+16,13
8.88337572591412e+15,14
6.57687437125613e+15,15
5.50102953180709e+15,16
5.25707476451638e+15,17
4.85112426248035e+15,18
4.21066587678847e+15,19
3.48564010866542e+15,20
3.17051134566343e+15,21
2.93130541225427e+15,22
2.65869232045115e+15,23
2.45542654370048e+15,24
2.34641919993748e+15,25
2.33677853792536e+15,26
2.3911172211018e+15,27
2.35754876235092e+15,28
1.62119993550745e+15,29
307906795568123,30
3225397287770.91,31
0,32
0,33
0,34
0,35
